,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
1,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False
2,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False
3,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False
4,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False
5,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False
6,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True
7,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False
8,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False
9,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False
10,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False
11,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False
12,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True
13,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False
14,True,True,True,True,True,True,True,False,False,True,False,True,False,False,False
15,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False
16,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False
17,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True
18,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False
19,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False
20,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False
21,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True
22,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False
23,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False
24,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True
25,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False
26,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True
27,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True
28,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
29,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False
30,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False
31,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False
32,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False
33,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True
34,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False
35,True,True,True,True,True,True,False,True,False,True,False,True,False,False,False
36,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False
37,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False
38,True,True,True,True,True,True,False,True,False,True,False,False,False,False,True
39,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False
40,True,True,True,True,True,True,False,True,False,False,True,False,True,False,False
41,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False
42,True,True,True,True,True,True,False,True,False,False,True,False,False,False,True
43,True,True,True,True,True,True,False,True,False,False,False,True,True,False,False
44,True,True,True,True,True,True,False,True,False,False,False,True,False,True,False
45,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True
46,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False
47,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
48,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True
49,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False
50,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False
51,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False
52,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False
53,True,True,True,True,True,True,False,False,True,True,False,False,False,False,True
54,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False
55,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False
56,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False
57,True,True,True,True,True,True,False,False,True,False,True,False,False,False,True
58,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False
59,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False
60,True,True,True,True,True,True,False,False,True,False,False,True,False,False,True
61,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False
62,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True
63,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True
64,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False
65,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False
66,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False
67,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True
68,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False
69,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False
70,True,True,True,True,True,True,False,False,False,True,False,True,False,False,True
71,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False
72,True,True,True,True,True,True,False,False,False,True,False,False,True,False,True
73,True,True,True,True,True,True,False,False,False,True,False,False,False,True,True
74,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False
75,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False
76,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True
77,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False
78,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True
79,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
80,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False
81,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True
82,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True
83,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True
84,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False
85,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False
86,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False
87,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False
88,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False
89,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True
90,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False
91,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False
92,True,True,True,True,True,False,True,True,False,True,False,False,True,False,False
